Pais,Año,Brecha,Desempleo,GP Social,Ganancias,Propiedad,PIB,S. Min. Real,IPC
Argentina,1995,4.26973482529293,16.855871,15.042477,2.2444,1.0025,8003.794218,99.5,8.658607985
Argentina,1996,4.57368976056803,17.742478,14.746561,2.2957,1.1058,8336.697033,99.3,8.672087897
Argentina,1997,4.70600364937942,14.135176,14.221685,2.5915,1.0271,8865.662216,98.8,8.717928518
Argentina,1998,4.93212371121056,12.46763,14.341503,2.8743,1.1362,8945.803423,97.9,8.798540542
Argentina,1999,4.79419285484594,13.897962,15.906615,3.1802,1.1833,8387.039225,99.1,8.695888583
Argentina,2000,5.24011703495931,14.784927,15.9867,3.5572,1.2171,8312.424201,100,8.614264971
Argentina,2001,5.71306769173243,18.396238,16.451375,3.5681,2.0824,7772.967285,101.1,8.522491702
Argentina,2002,5.95656856893016,17.883661,13.303423,2.7222,2.2684,2918.927949,81.3,10.72713229
Argentina,2003,5.42387853874542,15.679221,13.94401,3.8474,2.5909,3669.037002,84,12.16916451
Argentina,2004,5.1895473370283,13.439678,13.249513,4.8565,2.7675,4291.29849,129.8,12.70652049
Argentina,2005,4.93033999126017,11.5056015,14.90704,5.013,2.7461,5135.030942,171.1,13.93164036
Argentina,2006,4.75151632298521,10.09539305,14.791489,4.8559,2.6723,5936.857558,193.2,15.44973915
Argentina,2007,4.63202799644053,8.29105795,15.877843,4.9305,2.6732,7263.445389,219.6,16.81469806
Argentina,2008,4.54355359939439,7.91606595,16.785531,4.7599,2.6842,9090.084943,253.3,18.2576608
Argentina,2009,4.44186131236171,8.6341424,20.026295,4.5585,2.6578,8258.680979,292.1,19.40243087
Argentina,2010,4.20020907619114,7.72877595,19.80081,4.7196,2.6327,10368.21979,321.3,21.43127598
Argentina,2011,4.08905792478342,7.26164675,20.676605,5.0535,2.6405,12755.46875,364.4,23.52643131
Argentina,2012,3.94874005238826,7.2320595,21.298383,5.3113,2.7436,13845.48831,309.755147058826,25.88921982
Argentina,2013,3.94669728509793,7.02849785,22.427291,5.5457,2.8874,14462.49901,325.833823529414,28.63825508
Argentina,2014,3.97717976091888,7.14931705,24.772719,5.8922,2.8159,13217.3377,341.912500000002,34.7560776
Argentina,2015,3.92850107039457,7.01290018333333,24.04332,6.4579,2.7909,14893.03934,357.99117647059,42.22390863
Argentina,2016,4.02717715197583,7.86383411666667,25.900246,5.3101,2.7274,12758.35749,374.069852941178,59.32316606
Argentina,2017,3.87285545294339,8.36177555,24.05206,5.2509,2.8459,14592.99865,390.148529411766,74.54325707
Argentina,2018,3.96600413900481,9.1828458,22.684745,5.0661,2.6822,12233.9924,406.227205882355,100
Argentina,2019,4.1826489137794,9.7804233,22.20373,5.1162,2.6105,10055.94999,422.305882352943,152.8042303
Argentina,2020,4.16748279551139,11.4470265,25.910836,5.4065,3.2499,8562.292915,438.384558823531,214.6630282
Argentina,2021,3.84168945307654,8.908048,25.34736808,5.0819,3.0655,10732.63837,454.463235294119,273.6825
Brasil,1995,5.97083350573697,5.9532545,20.344695,5.2059,1.0021,4780.811291,87.2,22.70459564
Brasil,1996,6.33626671526282,6.7619878,20.054398,4.9627,0.8598,5134.683018,90.8,26.28224689
Brasil,1997,6.26583621395825,7.6785176,25.495523,4.8199,1.6764,5251.135801,92.3,28.10248569
Brasil,1998,5.9737491665737,8.9005021,27.837702,5.4139,1.7149,5014.613753,96.6,29.00070714
Brasil,1999,5.84907523441229,9.6135871,26.855706,5.6984,1.7069,3440.697315,97.4,30.41036111
Brasil,2000,6.0441751610109,9.48568435,22.506009,5.7266,1.9618,3724.951385,100,32.5525117
Brasil,2001,6.24793536925147,9.3577816,23.631885,5.9669,2.0928,3160.890731,109.8,34.7792337
Brasil,2002,5.93742801492342,9.1165791,23.742708,6.4453,2.3074,2885.435751,114.3,37.71800934
Brasil,2003,5.94914172600754,9.7309351,25.943719,6.2238,2.2782,3084.657315,117.4,43.2682015
